Марка;Цена USD;Цена UA;Город;Ссылка
Audi Q8 2020Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;71 969 $;1 907 187 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-audi-q8-1831509.html
Audi A6 2019Sport 55 TFSI S-tronic (340 л.с.) Quattro;78 038 $;2 068 013 грн;Одесса;https://auto.ria.com/newauto/auto-audi-a6-1824695.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;77 033 $;2 041 386 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829275.html
Audi A5 2017S-line New 2.0 TFSI S-tronic (190 л.с.);43 396 $;1 150 000 грн;Харьков;https://auto.ria.com/newauto/auto-audi-a5-1818911.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;89 202 $;2 363 866 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829283.html
Audi e-tron 2019Advanced 95kWh (408 л.с.) Quattro;96 241 $;2 533 904 грн;Харьков;https://auto.ria.com/newauto/auto-audi-e-tron-1820959.html
Audi Q8 2018Basis 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;74 801 $;1 982 215 грн;Днепр (Днепропетровск);https://auto.ria.com/newauto/auto-audi-q8-1815249.html
Audi RS Q8 20204.0 TFSI S-tronic (600 л.c.) Quattro;158 287 $;4 194 604 грн;Киев;https://auto.ria.com/newauto/auto-audi-rs-q8-1832250.html
Audi Q8 2020S-Line 55 TFSI Tip-tronic (340 л.с.) Quattro;143 464 $;3 801 800 грн;Киев;https://auto.ria.com/newauto/auto-audi-q8-1831485.html
Audi Q7 202050TDI Tip-tronic (286 л.с.) Quattro;73 349 $;1 943 754 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1826866.html
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;84 406 $;2 366 405 грн;Запорожье;https://auto.ria.com/newauto/auto-audi-q7-1829394.html
Audi e-tron 2019S-Line 95kWh (408 л.с.) Quattro;102 967 $;2 728 623 грн;Одесса;https://auto.ria.com/newauto/auto-audi-e-tron-1820962.html
Audi Q7 2020S-Line 50TDI Tip-tronic (286 л.с.) Quattro;94 785 $;2 511 792 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q7-1829273.html
Audi Q8 2020S-Line 50 TDI MHEV Tip-tronic (286 л.с.) Quattro;80 874 $;2 143 159 грн;Одесса;https://auto.ria.com/newauto/auto-audi-q8-1831449.html
Audi Q2 2018Sport 35 TDI S-tronic (150 л.с.) Quattro;39 245 $;1 040 000 грн;Харьков;https://auto.ria.com/newauto/auto-audi-q2-1746290.html
Audi Q7 2020Basis 50 TDI 3.0 Tiptronic (286 л.с.) Quattro;102 075 $;2 861 759 грн;Запорожье;https://auto.ria.com/newauto/auto-audi-q7-1829398.html
